date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-12,744.0,219814.0,179.0,30739.0,39620.0,899834.0,3635.5830988107073,508.40341777294594,14882.679365896776
2020-05-13,1402.0,221216.0,172.0,30911.0,37049.0,936883.0,3658.7712829324314,511.24818786491204,15495.44615157848
2020-05-14,888.0,222104.0,195.0,31106.0,41131.0,978014.0,3673.4582355002563,514.4733632598736,16175.72660886138
2020-05-15,992.0,223096.0,262.0,31368.0,39027.0,1017041.0,3689.865281612061,518.8066758418221,16821.208250600692
2020-05-16,789.0,223885.0,242.0,31610.0,40657.0,1057698.0,3702.9148374409056,522.8092012037744,17493.649050769687
2020-05-17,875.0,224760.0,153.0,31763.0,33505.0,1091203.0,3717.3867783157334,525.3397234367443,18047.800341068087
2020-05-18,675.0,225435.0,145.0,31908.0,26101.0,1117304.0,3728.5508469906003,527.7379307817157,18479.494202523947
2020-05-19,451.0,225886.0,99.0,32007.0,40226.0,1157530.0,3736.0100988015115,529.3753275206961,19144.806538102024
2020-05-20,813.0,226699.0,162.0,32169.0,38617.0,1196147.0,3749.4565992943517,532.0547040026643,19783.507041831417
2020-05-21,665.0,227364.0,161.0,32330.0,40644.0,1236791.0,3760.4552743592203,534.7175411236326,20455.732830307414
2020-05-22,642.0,228006.0,156.0,32486.0,42987.0,1279778.0,3771.073544121094,537.2976814396019,21166.710341605947
2020-05-23,652.0,228658.0,130.0,32616.0,42579.0,1322357.0,3781.8572074929657,539.4477983695763,21870.939793616562
2020-05-24,669.0,229327.0,119.0,32735.0,34206.0,1356563.0,3792.922040001834,541.4159823285528,22436.685175975825
2020-05-25,531.0,229858.0,50.0,32785.0,20676.0,1377239.0,3801.7044406927293,542.242950378543,22778.653004007752
2020-05-26,300.0,230158.0,92.0,32877.0,33944.0,1411183.0,3806.6662489926703,543.7645715905248,23340.065073785066
2020-05-27,397.0,230555.0,78.0,32955.0,37299.0,1448482.0,3813.232375309592,545.0546417485095,23956.96669971672
2020-05-28,584.0,231139.0,117.0,33072.0,39838.0,1488320.0,3822.891362133477,546.9897469854865,24615.861763226876
2020-05-29,593.0,231732.0,70.0,33142.0,38233.0,1526553.0,3832.6992032063604,548.1475022554727,25248.211152332344
2020-05-30,516.0,232248.0,87.0,33229.0,36051.0,1562604.0,3841.233513482259,549.5864266624556,25844.471655736244
2020-05-31,416.0,232664.0,111.0,33340.0,28948.0,1591552.0,3848.1138876581767,551.4222957334337,26323.253077958543
2020-06-01,355.0,233019.0,75.0,33415.0,18053.0,1609605.0,3853.9853608131066,552.6627478084189,26621.838162087988
2020-06-02,178.0,233197.0,60.0,33475.0,25628.0,1635233.0,3856.9293670710717,553.6551094684071,27045.70890579094
2020-06-03,318.0,233515.0,55.0,33530.0,20035.0,1655268.0,3862.1888838690093,554.5647743233963,27377.075003421993
2020-06-04,321.0,233836.0,71.0,33601.0,27451.0,1682719.0,3867.498018749946,555.7390689543822,27831.097002227587
2020-06-05,177.0,234013.0,88.0,33689.0,40470.0,1723189.0,3870.425485646911,557.1945327223649,28500.44494188962
2020-06-06,518.0,234531.0,85.0,33774.0,34036.0,1757225.0,3878.992874644809,558.6003784073482,29063.378632878914
2020-06-07,270.0,234801.0,72.0,33846.0,27894.0,1785119.0,3883.458502114756,559.791212399334,29524.72756860742
2020-06-08,197.0,234998.0,53.0,33899.0,16301.0,1801420.0,3886.7167562317168,560.6677985323236,29794.33569226521
2020-06-09,280.0,235278.0,65.0,33964.0,32200.0,1833620.0,3891.347777311662,561.7428569973108,30326.903116458867
2020-06-10,283.0,235561.0,79.0,34043.0,37865.0,1871485.0,3896.0284164746063,563.0494665162952,30953.16602071641
2020-06-11,202.0,235763.0,71.0,34114.0,32991.0,1904476.0,3899.3693673965663,564.2237611472813,31498.816079460914
2020-06-12,379.0,236142.0,53.0,34167.0,37651.0,1942127.0,3905.6377852154915,565.1003472802707,32121.5395604645
2020-06-13,163.0,236305.0,56.0,34223.0,32880.0,1975007.0,3908.3337010584596,566.0265514962598,32665.35375013802
2020-06-14,346.0,236651.0,78.0,34301.0,29545.0,2004552.0,3914.0563199643916,567.3166216542444,33154.0091708772
2020-06-15,338.0,236989.0,44.0,34345.0,17463.0,2022015.0,3919.646623982325,568.0443535382358,33442.83603201676
2020-06-16,301.0,237290.0,26.0,34371.0,27762.0,2049777.0,3924.624971643266,568.4743769242306,33902.001772093296
2020-06-17,210.0,237500.0,34.0,34405.0,33957.0,2083734.0,3928.098237453224,569.0367151982239,34463.628853563605
2020-06-18,328.0,237828.0,43.0,34448.0,32921.0,2116655.0,3933.5231478611595,569.7479077212155,35008.12115703812
2020-06-19,331.0,238159.0,66.0,34514.0,28570.0,2145225.0,3938.9976763520945,570.8395055472024,35480.65070080249
2020-06-20,297.5,238456.5,47.0,34561.0,29875.0,2175100.0,3943.918136249536,571.6168555141932,35974.76411067161
2020-06-21,264.0,238720.5,49.0,34610.0,24581.0,2199681.0,3948.2845275534837,572.4272842031835,36381.31814340777
2020-06-22,224.0,238944.5,24.0,34634.0,16152.0,2215833.0,3951.9893444174395,572.8242288671788,36648.46190227659
2020-06-23,221.0,239165.5,23.0,34657.0,23225.0,2239058.0,3955.644543198396,573.2046341701742,37032.58856149702
2020-06-24,113.0,239278.5,18.0,34675.0,30237.0,2269295.0,3957.513490991374,573.5023426681707,37532.68922004806
2020-06-25,577.0,239855.5,-31.0,34644.0,29421.0,2298716.0,3967.05670228826,572.9896224771768,38019.29376002327
2020-06-26,296.0,240151.5,34.0,34678.0,28331.0,2327047.0,3971.952353144202,573.5519607511701,38487.87039650869
2020-06-27,255.0,240406.5,30.0,34708.0,29721.0,2356768.0,3976.1698901991517,574.0481415811643,38979.43674478383
